Loan Date,Patron Id,Patron Group,Due Date,Barcode,Circ Desk Name,Description
1/9/23,-1,,1/9/23,HP001,CLICC Circ Desk,WL-BIO-01
1/9/23,-1,,1/9/23,IPADK296,CLICC Circ Desk,CLICC iPad Pro Keyboard 296
1/9/23,-1,,1/9/23,IPHONE60,Biomed Circ Desk,IPH-BIO-04
1/9/23,-1,UCLA Academic,1/9/23,HDST19,Biomed Circ Desk,HDS-BIO-02
1/9/23,-1,UCLA Academic,1/9/23,HDST27,Biomed Circ Desk,HDS-BIO-10
1/9/23,-1,UCLA Graduate,1/9/23,HDST15,CLICC Circ Desk,HDS-POW-04
1/9/23,-1,UCLA Graduate,1/9/23,HDST17,CLICC Circ Desk,HDS-POW-06
1/9/23,-1,UCLA Graduate,1/9/23,HDST20,Biomed Circ Desk,HDS-BIO-03
1/9/23,-1,UCLA Graduate,1/9/23,IPHONE25,CLICC Circ Desk,IPH-YRL-01
1/9/23,-1,UCLA Graduate,1/9/23,IPHONE54,CLICC Circ Desk,IPH-POW-10
1/9/23,-1,UCLA Graduate,1/9/23,IPHONE60,Biomed Circ Desk,IPH-BIO-04
1/9/23,-1,UCLA Graduate,1/9/23,LABMSE12,CLICC Circ Desk,LAB-MSE-12
1/9/23,-1,UCLA Graduate,1/9/23,MACCHRG42,CLICC Circ Desk,MAGT-YRL-04
1/9/23,-1,UCLA Graduate,1/9/23,MACCHRG63,Biomed Circ Desk,MAGT-BIO-02
1/9/23,-1,UCLA Graduate,1/9/23,MACUSBC24C24,CLICC Circ Desk,USBC-POW-07
1/9/23,-1,UCLA Graduate,1/9/23,MACUSBC25C25,CLICC Circ Desk,USBC-POW-08
1/9/23,-1,UCLA Graduate,1/9/23,OMNI39,CLICC Circ Desk,OMN-YRL-09
1/9/23,-1,UCLA Graduate,1/9/23,WALLADPT12,CLICC Circ Desk,ADP-POW-01
1/9/23,-1,UCLA Graduate,1/9/23,WALLADPT17,Biomed Circ Desk,ADP-BIO-01
1/9/23,-1,UCLA Graduate,1/9/23,WALLADPT41,CLICC Circ Desk,
1/9/23,-1,UCLA Graduate,1/15/23,CBK229,SEL Boelter Circ Desk,CBK-BOE-20
1/9/23,-1,UCLA Graduate,1/16/23,CBK204,Biomed Circ Desk,CBK-BIO-15
1/9/23,-1,UCLA Graduate,1/16/23,CBK207,Biomed Circ Desk,CBK-BIO-18
1/9/23,-1,UCLA Graduate,1/16/23,CLICC-ML-2033,CLICC Circ Desk,CLICC-ML-2033
1/9/23,-1,UCLA Graduate,1/16/23,CLICC-MM-072,CLICC Circ Desk,
1/9/23,-1,UCLA Graduate,1/16/23,CLICC-MM-099,CLICC Circ Desk,
1/9/23,-1,UCLA Graduate,1/16/23,HP100,CLICC Circ Desk,WL-POW-09
1/9/23,-1,UCLA Graduate,1/16/23,HP118,CLICC Circ Desk,WL-PC2-07
1/9/23,-1,UCLA Graduate,1/23/23,CBK407,CLICC Circ Desk,CBK-CLICC-158
1/9/23,-1,UCLA Graduate,1/23/23,CLICC-MM-001,CLICC Circ Desk,
1/9/23,-1,UCLA Graduate,1/23/23,CLICC-MM-088,CLICC Circ Desk,
1/9/23,-1,UCLA Music Grad,1/15/23,CBK-243,Music Circ Desk,CBK-MUS-04
1/9/23,-1,UCLA Music Undergrad,1/9/23,IPHONE46,CLICC Circ Desk,IPH-POW-02
1/9/23,-1,UCLA Music Undergrad,1/9/23,WALLADPT46,CLICC Circ Desk,
1/9/23,-1,UCLA Staff,1/16/23,CBK194,Biomed Circ Desk,CBK-BIO-05
1/9/23,-1,UCLA Undergrad,1/9/23,CALC07,CLICC Circ Desk,CAL-POW-06
1/9/23,-1,UCLA Undergrad,1/9/23,CLICC-MM-0003,CLICC Circ Desk,ITS iPad 224
1/9/23,-1,UCLA Undergrad,1/9/23,CLICC-MM-0016,CLICC Circ Desk,ITS iPad 114
1/9/23,-1,UCLA Undergrad,1/9/23,IPHONE34,CLICC Circ Desk,IPH-YRL-10
1/9/23,-1,UCLA Undergrad,1/9/23,IPHONE46,CLICC Circ Desk,IPH-POW-02
1/9/23,-1,UCLA Undergrad,1/9/23,IPHONE48,CLICC Circ Desk,IPH-POW-04
1/9/23,-1,UCLA Undergrad,1/9/23,IPHONE80,CLICC Circ Desk,
1/9/23,-1,UCLA Undergrad,1/9/23,MACCHRG49,CLICC Circ Desk,MAGT-POW-03
1/9/23,-1,UCLA Undergrad,1/9/23,MACUSBC19C19,CLICC Circ Desk,USBC-POW-02
1/9/23,-1,UCLA Undergrad,1/9/23,MACUSBC25C25,CLICC Circ Desk,USBC-POW-08
1/9/23,-1,UCLA Undergrad,1/9/23,MACUSBC27C27,CLICC Circ Desk,USBC-POW-10
1/9/23,-1,UCLA Undergrad,1/9/23,WALLADPT45,CLICC Circ Desk,
1/9/23,-1,UCLA Undergrad,1/9/23,WALLADPT46,CLICC Circ Desk,
1/9/23,-1,UCLA Undergrad,1/9/23,WALLADPT47,CLICC Circ Desk,
1/9/23,-1,UCLA Undergrad,1/9/23,WALLADPT48,CLICC Circ Desk,
1/9/23,-1,UCLA Undergrad,1/16/23,CBK194,Biomed Circ Desk,CBK-BIO-05
1/9/23,-1,UCLA Undergrad,1/16/23,CBK381,CLICC Circ Desk,CBK-CLICC-132
1/9/23,-1,UCLA Undergrad,1/16/23,CBK404,CLICC Circ Desk,CBK-CLICC-155
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-ML-0004,CLICC Circ Desk,ITS MacBook 126
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-ML-0015,CLICC Circ Desk,ITS MacBook 155
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-ML-0017,CLICC Circ Desk,ITS MacBook 169
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-ML-0022,CLICC Circ Desk,ITS MacBook 39
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-ML-0108,CLICC Circ Desk,ITS MacBook 176
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-ML-0126,CLICC Circ Desk,ITS MacBook 9
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-ML-2096,CLICC Circ Desk,CLICC-ML-2096
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-MM-0019,CLICC Circ Desk,ITS iPad 324
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-MM-0033,CLICC Circ Desk,ITS iPad 143
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-MM-065,CLICC Circ Desk,
1/9/23,-1,UCLA Undergrad,1/16/23,CLICC-MM-095,CLICC Circ Desk,
1/9/23,-1,UCLA Undergrad,1/16/23,HP040,CLICC Circ Desk,WL-SEL-05
1/9/23,-1,UCLA Undergrad,1/16/23,HP107,CLICC Circ Desk,W-POW-16
1/9/23,-1,UCLA Undergrad,1/16/23,HP131,CLICC Circ Desk,WL-PC2-20
1/9/23,-1,UCLA Undergrad,1/17/23,CBK254,Default Circulation Desk,CBK-CLICC-05
1/9/23,-1,UCLA Undergrad,1/18/23,CLICC-ML-0106,CLICC Circ Desk,ITS MacBook 102
1/9/23,-1,UCLA Undergrad,1/20/23,CLICC-ML-0072,CLICC Circ Desk,ITS MacBook 30
1/9/23,-1,UCLA Undergrad,1/20/23,CLICC-ML-0137,CLICC Circ Desk,ITS MacBook 60
1/9/23,-1,UCLA Undergrad,1/20/23,CLICC-MM-0006,CLICC Circ Desk,ITS iPad 323
1/9/23,-1,UCLA Undergrad,1/20/23,CLICC-MM-061,CLICC Circ Desk,
1/9/23,-1,UCLA Undergrad,1/20/23,HP070,CLICC Circ Desk,WL-YRL-20
1/9/23,-1,UCLA Undergrad,1/20/23,HP096,CLICC Circ Desk,WL-POW-05
1/9/23,-1,UCLA Undergrad,1/20/23,HP130,CLICC Circ Desk,WL-PC2-19
1/9/23,-1,UCLA Undergrad,1/23/23,CBK038,CLICC Circ Desk,CPOW-04
1/9/23,-1,UCLA Undergrad,1/23/23,CBK096,CLICC Circ Desk,CYRL-22
1/9/23,-1,UCLA Undergrad,1/23/23,CBK168,CLICC Circ Desk,CL-BOE-14
1/9/23,-1,UCLA Undergrad,1/23/23,CBK262,Default Circulation Desk,CBK-CLICC-13
1/9/23,-1,UCLA Undergrad,1/23/23,CBK411,CLICC Circ Desk,CBK-CLICC-162
1/9/23,-1,UCLA Undergrad,1/23/23,CLICC-ML-0008,CLICC Circ Desk,ITS MacBook 68
