Loan Date,Patron Id,Patron Group,Due Date,Barcode,Circ Desk Name,Description
2023-01-09,-1,,2023-01-09,HP001,CLICC Circ Desk,WL-BIO-01
2023-01-09,-1,,2023-01-09,IPADK296,CLICC Circ Desk,CLICC iPad Pro Keyboard 296
2023-01-09,-1,,2023-01-09,IPHONE60,Biomed Circ Desk,IPH-BIO-04
2023-01-09,-1,UCLA Academic,2023-01-09,HDST19,Biomed Circ Desk,HDS-BIO-02
2023-01-09,-1,UCLA Academic,2023-01-09,HDST27,Biomed Circ Desk,HDS-BIO-10
2023-01-09,-1,UCLA Graduate,2023-01-09,HDST15,CLICC Circ Desk,HDS-POW-04
2023-01-09,-1,UCLA Graduate,2023-01-09,HDST17,CLICC Circ Desk,HDS-POW-06
2023-01-09,-1,UCLA Graduate,2023-01-09,HDST20,Biomed Circ Desk,HDS-BIO-03
2023-01-09,-1,UCLA Graduate,2023-01-09,IPHONE25,CLICC Circ Desk,IPH-YRL-01
2023-01-09,-1,UCLA Graduate,2023-01-09,IPHONE54,CLICC Circ Desk,IPH-POW-10
2023-01-09,-1,UCLA Graduate,2023-01-09,IPHONE60,Biomed Circ Desk,IPH-BIO-04
2023-01-09,-1,UCLA Graduate,2023-01-09,LABMSE12,CLICC Circ Desk,LAB-MSE-12
2023-01-09,-1,UCLA Graduate,2023-01-09,MACCHRG42,CLICC Circ Desk,MAGT-YRL-04
2023-01-09,-1,UCLA Graduate,2023-01-09,MACCHRG63,Biomed Circ Desk,MAGT-BIO-02
2023-01-09,-1,UCLA Graduate,2023-01-09,MACUSBC24C24,CLICC Circ Desk,USBC-POW-07
2023-01-09,-1,UCLA Graduate,2023-01-09,MACUSBC25C25,CLICC Circ Desk,USBC-POW-08
2023-01-09,-1,UCLA Graduate,2023-01-09,OMNI39,CLICC Circ Desk,OMN-YRL-09
2023-01-09,-1,UCLA Graduate,2023-01-09,WALLADPT12,CLICC Circ Desk,ADP-POW-01
2023-01-09,-1,UCLA Graduate,2023-01-09,WALLADPT17,Biomed Circ Desk,ADP-BIO-01
2023-01-09,-1,UCLA Graduate,2023-01-09,WALLADPT41,CLICC Circ Desk,
2023-01-09,-1,UCLA Graduate,2023-01-15,CBK229,SEL Boelter Circ Desk,CBK-BOE-20
2023-01-09,-1,UCLA Graduate,2023-01-16,CBK204,Biomed Circ Desk,CBK-BIO-15
2023-01-09,-1,UCLA Graduate,2023-01-16,CBK207,Biomed Circ Desk,CBK-BIO-18
2023-01-09,-1,UCLA Graduate,2023-01-16,CLICC-ML-2033,CLICC Circ Desk,CLICC-ML-2033
2023-01-09,-1,UCLA Graduate,2023-01-16,CLICC-MM-072,CLICC Circ Desk,
2023-01-09,-1,UCLA Graduate,2023-01-16,CLICC-MM-099,CLICC Circ Desk,
2023-01-09,-1,UCLA Graduate,2023-01-16,HP100,CLICC Circ Desk,WL-POW-09
2023-01-09,-1,UCLA Graduate,2023-01-16,HP118,CLICC Circ Desk,WL-PC2-07
2023-01-09,-1,UCLA Graduate,2023-01-23,CBK407,CLICC Circ Desk,CBK-CLICC-158
2023-01-09,-1,UCLA Graduate,2023-01-23,CLICC-MM-001,CLICC Circ Desk,
2023-01-09,-1,UCLA Graduate,2023-01-23,CLICC-MM-088,CLICC Circ Desk,
2023-01-09,-1,UCLA Music Grad,2023-01-15,CBK-243,Music Circ Desk,CBK-MUS-04
2023-01-09,-1,UCLA Music Undergrad,2023-01-09,IPHONE46,CLICC Circ Desk,IPH-POW-02
2023-01-09,-1,UCLA Music Undergrad,2023-01-09,WALLADPT46,CLICC Circ Desk,
