Loan Date,Loan Time,Return Date,Return Time,Due Date,Barcode,User ID Encryption,Patron Id,Patron Group,Item Policy,Policy Name,Description,Library Name
2023-01-09,08:22:07,2023-01-17,17:38:49,2023-01-16,CBK204,CF4D6FB2CF4B8E4343F21A859E07528E8F94BCC8,-1,UCLA Graduate,CLICC Chromebook,1 Week,CBK-BIO-15,Biomed Library
2023-01-09,08:37:48,2023-01-11,11:02:19,2023-01-16,MP133,A63F80FF85A3C5D780EF0F0EA2C098B9B2C0B49D,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-PC1-09,Campus Library Instructional Computing Commons
2023-01-09,08:39:34,2023-01-09,09:31:51,2023-01-16,HP040,B3CC169CC62E132440FEB1720E378A1252283042,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-SEL-05,Campus Library Instructional Computing Commons
2023-01-09,08:41:25,2023-01-12,12:14:58,2023-01-16,CLICC-ML-0022,A3139BBC9C26C24DC01873C1917DDF68FBADE24E,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 39,Campus Library Instructional Computing Commons
2023-01-09,08:46:35,2023-01-18,11:13:01,2023-01-20,MP055,0B75EBE7E5A3F4B63BB2E52E29A54FBD0C3C3211,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-YRL-14,Campus Library Instructional Computing Commons
2023-01-09,08:59:15,2023-02-03,15:45:21,2023-01-23,CLICC-ML-0093,4F7B71BD77CBA5CB9FF88C557FECF95D9C64D0B4,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS MacBook 139,Campus Library Instructional Computing Commons
2023-01-09,09:00:25,2023-01-30,09:56:41,2023-01-23,CLICC-MM-0005,4D30A5DC821C2DF75A1DB75458F5397C877B1D52,-1,UCLA Undergrad,CLICC Chromebook,CLICC Fixed Due Date,ITS iPad 137,Campus Library Instructional Computing Commons
2023-01-09,09:01:04,2023-01-09,09:25:55,2023-01-09,MACUSBC25C25,954AE492BFF98F383BCA19DAEA72C6DCE75164CD,-1,UCLA Undergrad,CLICC Laptop Charger,CLICC 6 Hour Loan Period,USBC-POW-08,Campus Library Instructional Computing Commons
2023-01-09,09:01:31,2023-01-18,08:49:36,2023-01-16,CLICC-MM-095,B44B42A55DECE9CE20EF144571B738A8B590CE40,-1,UCLA Undergrad,CLICC Chromebook,1 Week,,Campus Library Instructional Computing Commons
2023-01-09,09:13:33,2023-01-24,10:50:57,2023-01-23,MP147,FAB3197BD70C17CB14FC110FBAFE5CD77ED8D8AA,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-PC1-23,Campus Library Instructional Computing Commons
2023-01-09,09:17:10,2023-01-25,16:46:40,2023-01-23,MP054,446B7A8BA25380877440ED4B979EA90D1B71A766,-1,UCLA Graduate,CLICC Chromebook,1 Week,ML-YRL-13,Campus Library Instructional Computing Commons
2023-01-09,09:18:05,2023-02-01,11:18:39,2023-01-23,CBK411,86255B08E1260AB93D3B29CBA3DF62F0344FE0F7,-1,UCLA Undergrad,CLICC Chromebook,1 Week,CBK-CLICC-162,Campus Library Instructional Computing Commons
2023-01-09,09:19:24,2023-01-09,14:46:43,2023-01-09,HDST20,B151F868F36D0622C1CD9D7A16303F7C761964B9,-1,UCLA Graduate,CLICC Headset,CLICC 6 Hour Loan Period,HDS-BIO-03,Biomed Library
2023-01-09,09:20:13,2023-01-23,18:05:16,2023-01-23,MP181,882075DB698688EFA97458628B23DB067ECF44F9,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-CMM-21,Campus Library Instructional Computing Commons
2023-01-09,09:20:54,2023-01-18,11:12:03,2023-01-18,MP097,E7BFF0AE1E11042791EC9F570256B3960785F88C,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-CLA-15,Campus Library Instructional Computing Commons
2023-01-09,09:27:44,2023-01-20,16:25:11,2023-01-23,CLICC-MM-088,AEFAA5078C9C17AC935C05AD0EC94E05179653A7,-1,UCLA Graduate,CLICC Chromebook,1 Week,,Campus Library Instructional Computing Commons
2023-01-09,09:29:23,2023-01-09,12:17:05,2023-01-09,MACUSBC25C25,C52E9C1B7EB39A4B01BFEECC7246DD0403042E6F,-1,UCLA Graduate,CLICC Laptop Charger,CLICC 6 Hour Loan Period,USBC-POW-08,Campus Library Instructional Computing Commons
2023-01-09,09:32:20,2023-01-18,12:43:31,2023-01-23,HP022,B3CC169CC62E132440FEB1720E378A1252283042,-1,UCLA Undergrad,CLICC Chromebook,1 Week,WL-BCR-12,Campus Library Instructional Computing Commons
2023-01-09,09:36:50,2023-01-23,15:53:41,2023-01-23,CLICC-MM-0018,AEFD5315DFCBC8257BA78C96194326C42A726B7C,-1,UCLA Undergrad,CLICC Chromebook,CLICC Fixed Due Date,ITS iPad 160,Campus Library Instructional Computing Commons
2023-01-09,09:38:49,2023-01-23,10:46:29,2023-01-23,MP021,4F735D0D8558363D0D07609D6A88F65E927A460F,-1,UCLA Undergrad,CLICC Chromebook,1 Week,,Campus Library Instructional Computing Commons
2023-01-09,09:43:02,2023-01-09,15:56:19,2023-04-09,AD2116,60B0930C8E5E980246BA17231108530DC019E7C6,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 116,SEL/EMS
2023-01-09,09:43:09,2023-01-18,10:57:35,2023-01-16,CLICC-MM-065,B3D9A6007AF7129E5D1C83A55A5E0B6C8B73F3F7,-1,UCLA Undergrad,CLICC Chromebook,1 Week,,Campus Library Instructional Computing Commons
2023-01-09,09:43:41,2023-01-20,14:52:44,2023-01-20,MP043,EA4B860DA0A7A0E81C32FD8A354294624C19BF57,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-YRL-02,Campus Library Instructional Computing Commons
2023-01-09,09:44:27,2023-01-23,15:30:05,2023-01-23,MP131,162FA44E56491EC2A8BBD95A285DAE927045CF44,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ML-PC1-07,Campus Library Instructional Computing Commons
2023-01-09,09:48:42,2023-01-09,17:00:27,2023-01-15,CBK-243,FC4B88183D6D86AC6EACD160B554A092E0D52BCC,-1,UCLA Music Grad,CLICC Chromebook,1 Week,CBK-MUS-04,Music Library
2023-01-09,09:54:56,2023-01-10,08:55:48,2023-04-09,AD2132,14766076C8A78609C6BE92FDBC0794530A50E017,-1,UCLA Undergrad,CLICC Electrical Eng.,90 Days Loan,CLICC EE AD2 Unit 132,SEL/EMS
2023-01-09,09:56:08,2023-01-12,08:36:45,2023-01-16,CLICC-MM-0033,EE35C7179A95A248A6BF23450426E0AF62E69289,-1,UCLA Undergrad,CLICC Chromebook,1 Week,ITS iPad 143,Campus Library Instructional Computing Commons
